"","Ascomycota","Basidiomycota","Mucoromycota","Microsporidia","Chytridiomycota","Cohort","Stage","SampleName"
"MMRS39582183ST",62.6575392147974,17.9436032278538,6.0340919394324,6.813854383897,4.85991477015142,"2016_VogtmannE","CTRL","MMRS39582183ST"
"MMRS51737257ST",57.5448013159034,22.5781317634837,5.40645831529738,9.93420483075058,3.05601246645312,"2016_VogtmannE","CTRL","MMRS51737257ST"
"MMRS35808664ST",64.9871860584316,15.0640697078421,9.92311635058944,4.2849820604818,3.91081496668375,"2016_VogtmannE","CTRL","MMRS35808664ST"
"MMRS93621581ST",60.8480636214789,19.0597119657834,7.21756273599091,6.05139171985164,4.59785477996458,"2016_VogtmannE","CTRL","MMRS93621581ST"
"MMRS88581325ST",62.4212831979556,16.4597973897965,6.43424294971251,8.43752852058045,4.58154604362508,"2016_VogtmannE","CTRL","MMRS88581325ST"
"MMRS32573774ST",58.8247275689989,19.3858845096242,5.32131581627457,12.0327935634993,3.39647621957429,"2016_VogtmannE","CTRL","MMRS32573774ST"
"MMRS65862658ST",59.9264927396517,18.2081098993794,5.42266674700247,12.2733024040489,2.88003856118576,"2016_VogtmannE","CTRL","MMRS65862658ST"
"MMRS21365932ST",59.8544065875052,17.6979533385047,4.98239751775166,13.2883823617161,3.16844680470195,"2016_VogtmannE","CTRL","MMRS21365932ST"
"MMRS38954404ST",60.3189749182116,16.4576517629953,6.59760087241003,9.36477644492912,5.60705198109778,"2016_VogtmannE","CTRL","MMRS38954404ST"
"MMRS81135225ST",58.6889413473761,17.1478724048181,6.14974880455178,12.6081956298045,3.88596331941166,"2016_VogtmannE","CTRL","MMRS81135225ST"
"MMRS33294861ST",52.7715790413282,14.7639025261091,4.74872801928055,23.4758546817817,3.49906275104883,"2016_VogtmannE","CTRL","MMRS33294861ST"
"MMRS29805707ST",47.6882085575466,13.1341100255995,3.73021263256883,31.6023196280236,2.73757901886004,"2016_VogtmannE","CTRL","MMRS29805707ST"
"MMRS11288076ST",45.7477403451109,13.2497945768283,4.78635990139688,31.5050671049028,3.92358258011504,"2016_VogtmannE","CTRL","MMRS11288076ST"
