	CRC	CTRL
HmFeces_10663	0.23373880038223502	0.7662611996177655
S1_105	0.43710728471835963	0.5628927152816401
M2-PK797A	0.5389820882605302	0.4610179117394696
S1_003	0.5883413032012407	0.41165869679875994
HmFeces_10231	0.1638350401376122	0.8361649598623884
S5_038	0.9030245129870131	0.09697548701298704
S1_125	0.5026251663541136	0.4973748336458863
HmFeces_10469	0.5968312726489196	0.4031687273510801
CCMD25511638ST-21-0	0.5689208243506761	0.4310791756493229
S6_025	0.5617474427746167	0.438252557225383
MMRS97327636ST	0.7496980182399304	0.2503019817600699
MMRS93621581ST	0.17150563528367127	0.8284943647163286
CCMD40701343ST-21-0	0.8955012792762796	0.10449872072372075
ANS71	0.5240012887180542	0.47599871128194593
CCIS77252613ST-4-0	0.5469220018952633	0.45307799810473676
HmFeces_10107	0.5454566768199121	0.4545433231800879
HmFeces_10332	0.46582177304695976	0.5341782269530405
MMRS65945127ST	0.6941760451178303	0.30582395488216996
CCMD64776337ST-21-0	0.5604400903882962	0.43955990961170427
M2-PK017A	0.7965719613719618	0.20342803862803857
HmFeces_10318	0.29946021875781276	0.7005397812421877
S3_043	0.200026285131626	0.799973714868374
CCMD89107682ST	0.14704107968698957	0.8529589203130107
MMRS84159866ST	0.27457560177192825	0.7254243982280716
SID532915	0.6317392137449385	0.3682607862550616
HmFeces_10817	0.14892242760141786	0.8510775723985826
HmFeces_10335	0.6292520979020981	0.3707479020979022
S1_092	0.5269099419544363	0.47309005804556403
HmFeces_10059	0.46836134651517275	0.5316386534848274
HmFeces_11820	0.29242472394605434	0.7075752760539461
CCIS53355328ST-4-0	0.8958917887667891	0.1041082112332113
HmFeces_10486	0.4925206897222375	0.5074793102777625
S1_036	0.2260975328333273	0.7739024671666724
S1_031	0.6594906496281496	0.34050935037185037
S5_006	0.6042029339383499	0.3957970660616498
VF263	0.1855800662042912	0.8144199337957095
S5_084_merged	0.8986019286269278	0.10139807137307144
M2-PK644A	0.1996684682379329	0.800331531762068
S5_055	0.9458456127206127	0.05415438727938729
MMRS77018926ST	0.5547998562076709	0.4452001437923289
M2-PK619A	0.13325871981478724	0.8667412801852135
ANS52	0.20311374055342069	0.7968862594465793
S1_093	0.2744012828320509	0.725598717167949
